,,,,,132.2321227,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,5,15,8.903833333,108,8.865,-3.638500486,8.083906185
2011,2,5,16,9.797833333,104.8333333,9.728666667,-4.476947812,8.637354538
2011,2,5,17,9.6175,106,9.511,-4.20394597,8.531468764
2011,2,5,18,8.732833333,109.3333333,8.595833333,-3.344677316,7.918426885
2011,2,5,19,7.339833333,116.5,7.228166667,-1.959846078,6.957398703
2011,2,5,20,7.3295,128,7.18,-0.529864809,7.160422005
2011,2,5,21,7.508,131.1666667,7.3555,-0.136772903,7.354228268
2011,2,5,22,7.1035,133.6666667,6.941166667,0.173771413,6.938991151
2011,2,5,23,8.373666667,136.6666667,8.164333333,0.631267424,8.139891904
2011,2,6,0,9.603833333,138.6666667,9.376333333,1.050787494,9.317267433
2011,2,6,1,8.972,142.6666667,8.733166667,1.581682275,8.588741538
2011,2,6,2,8.641833333,145.5,8.402833333,1.928484626,8.178542356
2011,2,6,3,8.557666667,149.6666667,8.316,2.491607116,7.933961809
2011,2,6,4,8.571833333,151.5,8.324333333,2.746906812,7.858055002
2011,2,6,5,8.332666667,151.8333333,8.0725,2.708093474,7.604701571
2011,2,6,6,7.220666667,152.8333333,7.026666667,2.472412953,6.577326101
2011,2,6,7,7.742166667,142.1666667,7.685,1.325839236,7.569767191
2011,2,6,8,9.476833333,130.6666667,9.433,-0.257699774,9.429479298
2011,2,6,9,8.817333333,133.5,8.766,0.193963767,8.763853836
2011,2,6,10,8.9085,128.3333333,8.8725,-0.603278637,8.851966512
2011,2,6,11,8.3085,130.6666667,8.254166667,-0.22549527,8.251085944
2011,2,6,12,8.7805,139.3333333,8.7385,1.080274721,8.671469816
2011,2,6,13,8.618833333,145.3333333,8.584666667,1.945902586,8.361217908
2011,2,6,14,8.166,128.6666667,8.1245,-0.505252838,8.108774249
2011,2,6,15,8.8975,125.8333333,8.840166667,-0.985218322,8.785094852
2011,2,6,16,9.199666667,118.1666667,9.129166667,-2.218663435,8.855462529
2011,2,6,17,9.3065,115.6666667,9.218166667,-2.628196447,8.835563374
2011,2,6,18,8.5485,117.5,8.427166667,-2.143030174,8.150126361
2011,2,6,19,8.453666667,119,8.313,-1.902818005,8.092295882
2011,2,6,20,9.046833333,127.1666667,8.900833333,-0.785888055,8.866070944
2011,2,6,21,9.187833333,133.5,9.027,0.199738869,9.024789936
2011,2,6,22,9.282666667,137.6666667,9.104333333,0.862257996,9.063409766
2011,2,6,23,9.385666667,137.6666667,9.209666667,0.872233961,9.168269631
2011,2,7,0,8.294166667,144.5,8.119166667,1.72518144,7.933764325
2011,2,7,1,7.156833333,149,7.018666667,2.024850472,6.72024273
2011,2,7,2,7.0915,150,6.982166667,2.130688092,6.649121718
2011,2,7,3,6.972333333,149.3333333,6.829333333,2.00823731,6.527386666
2011,2,7,4,7.185,151.8333333,7.030833333,2.358644022,6.623399107
2011,2,7,5,7.4385,154.8333333,7.269,2.79358449,6.710756045
2011,2,7,6,8.394166667,149.8333333,8.248833333,2.494364962,7.862658252
2011,2,7,7,9.822166667,144.3333333,9.752666667,2.044541453,9.535950784
2011,2,7,8,10.97183333,141.1666667,10.91033333,1.694440286,10.77795182
2011,2,7,9,10.97983333,135.3333333,10.91016667,0.590239042,10.89418903
2011,2,7,10,10.30966667,143.1666667,10.25116667,1.944517538,10.06505189
2011,2,7,11,9.215333333,139.1666667,9.160833333,1.106036479,9.093819366
2011,2,7,12,10.0275,139,9.979,1.175997672,9.909463683
2011,2,7,13,9.407166667,137.8333333,9.338333333,0.91145801,9.293745947
2011,2,7,14,8.725166667,127,8.6775,-0.791309084,8.641344582
2011,2,7,15,8.757166667,120.6666667,8.695666667,-1.743370668,8.519112483
2011,2,7,16,9.547,117.6666667,9.48,-2.384086091,9.175321984
2011,2,7,17,8.596,112.5,8.479833333,-2.862987094,7.981909437
2011,2,7,18,10.21433333,113.6666667,10.04666667,-3.198736459,9.523843565
2011,2,7,19,9.478833333,119.8333333,9.318166667,-2.00074728,9.100837344
2011,2,7,20,9.034333333,121.6666667,8.880333333,-1.62828637,8.729776836
2011,2,7,21,9.012666667,125.1666667,8.839333333,-1.087266031,8.77220989
2011,2,7,22,9.604666667,129,9.4145,-0.530801459,9.399524459
2011,2,7,23,9.647,130.6666667,9.443,-0.257972963,9.439475565
2011,2,8,0,9.7525,129.5,9.5145,-0.453522611,9.503684943
2011,2,8,1,8.843833333,136,8.6345,0.567411638,8.61583625
2011,2,8,2,8.002333333,141.5,7.7935,1.255147211,7.691764929
2011,2,8,3,8.277333333,143,8.065666667,1.506913089,7.923647627
2011,2,8,4,9.0885,141.3333333,8.852166667,1.400226251,8.740722004
2011,2,8,5,8.294,142.1666667,8.083666667,1.394618404,7.962456046
2011,2,8,6,7.467,149,7.327,2.113803107,7.015466159
2011,2,8,7,7.9405,149.1666667,7.900333333,2.301201269,7.557760217
