"alpha","phi","RSN","phi.hat","phi0.hat","sigma.e","beta","beta0","RMSE.arima","RMSE.qr","diffrmse","diff.intercept","diff.lag"
0.1,0.5,0.5,0.497863035346987,0.993873502308607,1.0049943397237,0.506576556058999,-0.28790994209121,1.00025337693956,1.00045515253428,1.00020172448238,-0.00296438725143128,-0.00871352071201253
0.1,0.5,1,0.493301842471777,0.982875022809644,1.94151864592519,0.490522099459165,-0.791096782025907,1.4309479196305,1.43091470622622,0.999976789229131,-0.0117214920673212,0.00277974301261197
0.1,0.7,0.01,0.715070817080996,1.00044752264686,0.0334192494739321,0.710033338249646,0.731568347703395,0.188895943020114,0.181648883226877,0.961634645628862,0.0345995977082882,0.0050374788313502
0.1,0.7,0.05,0.696035368203827,1.0015320360061,0.16593868139007,0.688515502737364,0.517462345937094,0.408855610160791,0.408646600949186,0.999488794561184,-0.0379776687010098,0.00751986546646377
0.1,0.7,0.1,0.701788478806482,1.00872806582102,0.337286494691235,0.70286238236065,0.249649258779513,0.581873907328665,0.581916674174367,1.0000734984765,0.0148001566312917,-0.00107390355416814
0.1,0.7,0.5,0.708359469835649,0.987189487277429,1.67588298841082,0.705084406274295,-0.721575236927837,1.29176433578958,1.29275529546939,1.00076713658394,0.0497206190197699,0.00327506356135443
0.1,0.7,1,0.703731669269037,1.01051690245603,3.35254914237485,0.704181538870769,-1.34602285899553,1.81073071204463,1.81077088756299,1.00002218746172,0.0100229946312427,-0.000449869601731656
0.1,0.9,0.01,0.921748820049759,1.00378680535684,0.103699548134953,0.914657067503437,0.444052625777126,0.381528598035689,0.316163930915369,0.828676886983434,0.147043636049284,0.00709175254632211
0.1,0.9,0.05,0.900785114443845,1.00923815338307,0.498535358417613,0.893861440409855,0.165972370112348,0.712108047653846,0.71203565964563,0.999898346875231,-0.0615997966430157,0.00692367403399052
0.1,0.9,0.1,0.901751600913445,0.992256527237866,0.985831886142069,0.907999361615691,-0.361103530731068,1.00128971780368,1.00136225822856,1.00007244698871,0.0809194631124903,-0.00624776070224553
0.1,0.9,0.5,0.896630586305324,0.985824056259575,5.01156389611804,0.893641426594972,-1.85006213315841,2.22434563163939,2.22429567921767,0.999977542868785,-0.0330621061901435,0.00298915971035196
0.1,0.9,1,0.897530758602696,1.04814160374283,10.0432277684701,0.902460876823805,-3.02625648373807,3.13460735916397,3.13513636693299,1.00016876364674,0.0130263570851783,-0.00493011822110823
0.5,0.25,0.01,0.265772282525568,1.00154458890431,0.0137728578576448,0.260727778751275,0.988574405365578,0.117640888135767,0.115366160882815,0.980663804150081,0.0129701835387293,0.00504450377429372
0.5,0.25,0.05,0.244424934496478,1.00002757710526,0.0670590682024631,0.249954314988663,1.00051523923462,0.260570746938204,0.260523084162767,0.999817083168401,-0.000487662129362354,-0.00552938049218471
0.5,0.25,0.1,0.243080754126169,1.00235357757843,0.13437214220691,0.241094107419083,1.01276557217543,0.365352964888252,0.3652520115743,0.999723682784448,-0.0104119945969976,0.00198664670708545
0.5,0.25,0.5,0.245942818234094,0.995340229367371,0.673074807245293,0.24263243533816,1.00777462226451,0.822924794353009,0.822956680196905,1.00003874697192,-0.0124343928971442,0.00331038289593397
0.5,0.25,1,0.259717756083358,1.00107761735598,1.36125577862805,0.254784980118616,0.977117892182998,1.15425801314426,1.15457728894029,1.0002766069565,0.0239597251729798,0.00493277596474184
0.5,0.5,0.01,0.50474215619391,1.00048903070916,0.0203622813718359,0.496572964930954,1.00823225280511,0.139151306935153,0.13869448943906,0.996717116740371,-0.00774322209594791,0.00816919126295529
0.5,0.5,0.05,0.510417196143286,0.999461653595789,0.0998701830358901,0.515597538040941,0.96605930728137,0.319720013941216,0.319352310835773,0.998849921526932,0.0334023463144189,-0.00518034189765582
0.5,0.5,0.1,0.516736255328249,1.00243754577336,0.199889355649219,0.521879516093554,0.956620421031963,0.445954097222312,0.444698874602165,0.997185309815595,0.0458171247414004,-0.0051432607653048
0.5,0.5,0.5,0.491366687657353,1.00505267853748,0.994022640415125,0.490799727954256,1.0144641209452,1.00107684073277,1.00103848791018,0.999961688432869,-0.00941144240772163,0.000566959703097225
0.5,0.5,1,0.516952392271543,1.01299108707367,2.03941071594567,0.513480380843491,0.984647718333899,1.42257359683063,1.42170803840677,0.999391554555925,0.0283433687397672,0.00347201142805165
0.5,0.7,0.01,0.716139563628743,0.998954729578783,0.0336003953159571,0.707964530971536,0.972641856071531,0.190006805959796,0.182711171032652,0.961603296838284,0.0263128735072519,0.0081750326572062
0.5,0.7,0.05,0.701600608518867,1.00165736642885,0.164627820822531,0.698408153165397,1.0047940856928,0.405001089530272,0.404884085688126,0.999711102401521,-0.00313671926395021,0.00319245535347012
0.5,0.7,0.1,0.70732794566402,0.991981690711175,0.337118120304148,0.714359212109778,0.939371460562484,0.58649980155482,0.586535654048397,1.000061129592,0.0526102301486915,-0.00703126644575791
0.5,0.7,0.5,0.698300904123078,0.985639347060233,1.64282111554357,0.703085242404789,0.994934183106575,1.29245696584082,1.29247138436127,1.00001115589984,-0.00929483604634174,-0.00478433828171054
0.5,0.7,1,0.691762903024148,1.0091945928159,3.36563917939975,0.68636318191917,1.06454295635486,1.81292663870388,1.81337115150879,1.00024519072941,-0.0553483635389587,0.00539972110497744
0.5,0.9,0.01,0.912254842444368,0.999560784531959,0.10516256346795,0.899683927467431,1.00556592803398,0.343943695778977,0.321987793889987,0.936164255491691,-0.00600514350201675,0.0125709149769365
0.5,0.9,0.05,0.902828579821745,1.00371404902528,0.496754671559363,0.897801692845925,1.02169955529638,0.713359870364745,0.71325517067562,0.999853230194922,-0.0179855062710972,0.00502688697581977
0.5,0.9,0.1,0.898440377645889,0.976892227970823,1.00889355969901,0.903138200137915,0.962651890871877,1.00143340963904,1.0007765169981,0.999344047607546,0.0142403370989465,-0.00469782249202544
0.5,0.9,0.5,0.902175375628193,1.00274380615466,5.04187264661825,0.907611631113443,0.927839454559405,2.19654019633727,2.19635153597004,0.999914110214075,0.074904351595257,-0.00543625548524962
0.5,0.9,1,0.88748663436152,1.03410860841326,10.1042585710551,0.885763400224157,1.1396508834576,3.20170958841959,3.20154086418646,0.999947301830953,-0.105542275044333,0.00172323413736275
0.9,0.25,0.01,0.242130360360033,0.999709801670451,0.013536989991171,0.241490868435018,1.16121538071745,0.115361554090608,0.114972335936636,0.996626101676252,-0.0123988856370876,0.000639491925015084
0.9,0.25,0.05,0.259640973129891,0.997977048172581,0.0665707704721266,0.265514302994371,1.30569892343687,0.258561926308066,0.258419829273405,0.999450433261038,0.022935243546464,-0.00587332986448003
0.9,0.25,0.1,0.229930010798039,0.994509571544001,0.130976909467946,0.233361334618312,1.48105626370501,0.365286001808551,0.363600128360975,0.995384784965125,-0.0227437975111913,-0.00343132382027245
0.9,0.25,0.5,0.243090527349289,0.996768592885152,0.649602128023928,0.242511644720809,2.04770667608468,0.810895022167363,0.810623194563616,0.999664780771474,-0.0180344501856013,0.00057888262848052
0.9,0.25,1,0.248390913131579,0.978577199863254,1.36185393831864,0.264152439780884,2.46499233249625,1.16338722399406,1.16368418815914,1.00025525823127,0.00913629258298609,-0.0157615266493051
