Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,6,7,8.270166667,143.6666667,8.3035,1.729028753,8.121488276
2011,2,6,8,9.2265,132.6666667,9.254166667,0.164508297,9.252704346
2011,2,6,9,9.109666667,128,9.14,-0.581560629,9.121479443
2011,2,6,10,8.930166667,130.1666667,8.954166667,-0.231489752,8.951173845
2011,2,6,11,8.881666667,128.1666667,8.9135,-0.54127072,8.897050537
2011,2,6,12,8.026666667,135.8333333,8.0585,0.588120818,8.037010399
2011,2,6,13,7.908833333,139.6666667,7.94,1.107584381,7.862369671
2011,2,6,14,8.180833333,135.8333333,8.207166667,0.598970724,8.185280617
2011,2,6,15,8.627333333,127.5,8.654166667,-0.625994885,8.631496458
2011,2,6,16,9.072166667,125.8333333,9.104833333,-0.922432847,9.05798585
2011,2,6,17,9.044833333,117.1666667,9.098166667,-2.275142183,8.809106921
2011,2,6,18,8.347166667,118.8333333,8.404666667,-1.864151307,8.1953256
2011,2,6,19,8.4625,119,8.532666667,-1.868331374,8.325607385
2011,2,6,20,8.986,130.3333333,9.069666667,-0.208101026,9.067278942
2011,2,6,21,9.5115,136,9.6195,0.729949191,9.591764928
2011,2,6,22,9.149333333,138.6666667,9.261,1.131613043,9.191603392
2011,2,6,23,9.1035,137.5,9.229166667,0.940984698,9.181071025
2011,2,7,0,8.425,142.5,8.542833333,1.608370176,8.39006238
2011,2,7,1,7.737166667,149.1666667,7.864833333,2.367433517,7.50005746
2011,2,7,2,7.010666667,152.1666667,7.131666667,2.499728625,6.679223477
2011,2,7,3,6.792333333,149.6666667,6.9025,2.135118725,6.563975493
2011,2,7,4,7.3875,154.6666667,7.509666667,2.936502279,6.91173262
2011,2,7,5,8.342666667,160,8.4785,4.026319328,7.461482086
2011,2,7,6,8.7275,152.5,8.820666667,3.139750308,8.242944162
2011,2,7,7,10.1235,147.1666667,10.177,2.722865345,9.805984566
2011,2,7,8,10.39283333,143.3333333,10.45316667,2.117133966,10.23652466
2011,2,7,9,10.63166667,135.8333333,10.67066667,0.778760466,10.6422112
2011,2,7,10,9.416666667,136.5,9.445333333,0.798893132,9.411487212
2011,2,7,11,9.247833333,131.1666667,9.281333333,-0.0779839,9.281005708
2011,2,7,12,8.894333333,143.8333333,8.924333333,1.88368709,8.72327051
2011,2,7,13,9.2875,142.6666667,9.318166667,1.780956444,9.146388587
2011,2,7,14,8.7265,130.8333333,8.761166667,-0.124580419,8.760280879
2011,2,7,15,9.447166667,123,9.483833333,-1.426037462,9.376007244
2011,2,7,16,9.993666667,121,10.037,-1.854598727,9.864169127
2011,2,7,17,9.197333333,115.8333333,9.243,-2.518976037,8.893132672
2011,2,7,18,8.598833333,117.8333333,8.666666667,-2.069456813,8.415964568
2011,2,7,19,8.038,123.6666667,8.121166667,-1.127639688,8.042498167
2011,2,7,20,9.254666667,124.6666667,9.357333333,-1.137359887,9.287954543
2011,2,7,21,9.405666667,129.5,9.518666667,-0.356782171,9.511977796
2011,2,7,22,9.649333333,130.5,9.766666667,-0.195689985,9.764705997
2011,2,7,23,9.2265,133.3333333,9.343666667,0.274786921,9.339625203
2011,2,8,0,8.992166667,130.3333333,9.1185,-0.209221494,9.116099419
2011,2,8,1,9.177,137.5,9.321666667,0.950415786,9.273088983
2011,2,8,2,7.686833333,145.1666667,7.8205,1.828125615,7.60382647
2011,2,8,3,7.930333333,147.3333333,8.078166667,2.183953216,7.777346916
2011,2,8,4,8.196,144.3333333,8.351666667,1.833984538,8.147811782
2011,2,8,5,7.358,142,7.497666667,1.347282961,7.375624317
2011,2,8,6,7.884666667,146.5,7.973333333,2.043738233,7.706956499
2011,2,8,7,8.828,146.8333333,8.863666667,2.321755196,8.554182579
2011,2,8,8,9.789166667,145.3333333,9.827,2.324950303,9.548012102
2011,2,8,9,9.6705,142.5,9.704833333,1.827141404,9.531282406
