"n","alpha","phi","RSN","sigma2","phi.hat.mean","phi.hat.sd","sigma2.hat.mean","sigma2.hat.sd","phi0.hat.mean","phi0.hat.sd","beta.hat.mean","beta.hat.sd","beta0.hat.mean","beta0.hat.sd","RMSE.arima","RMSE.qr","diffrmse.mean","diffrmse.sd","diff.intercept.mean","diff.intercept.sd","diff.lag.mean","diff.lag.sd"
20,0.05,0.7,0.01,0.0333333333333333,0.689612008846702,0.045010314460218,0.0319213278552852,0.0108440293051561,1.02980871847658,0.130728072371632,0.657372199733331,0.0973778895500941,0.823169591550325,0.265128764401456,0.194768477080831,0.213324913403733,1.09527433084154,0.221317209395225,-0.0829658894010149,0.226953572119338,0.0322398091133717,0.221317209395225
20,0.05,0.7,0.05,0.166666666666667,0.654762646017331,0.0995508726961454,0.153777122371686,0.053022744922477,1.12337981685014,0.288422453517687,0.605639572321711,0.210998514621757,0.611508755767668,0.594101459581988,0.437509776741341,0.479886707649496,1.09685939186042,0.237362155206824,-0.123508905617413,0.486025728976342,0.049123073695621,0.237362155206824
20,0.05,0.7,0.1,0.333333333333333,0.623582452288548,0.129146242571199,0.312904493971956,0.104869232716763,1.20736369285575,0.369932514030958,0.584522966141468,0.269003850771146,0.405168245878541,0.773377891217945,0.624652100501738,0.688005071532365,1.10142120866918,0.235220919889193,-0.1050544743828,0.642696666149367,0.0390594861470796,0.235220919889193
20,0.05,0.7,0.5,1.66666666666667,0.56390537029041,0.184097499720324,1.53240990085636,0.544535570250274,1.38319133859793,0.625716119249526,0.529224456360056,0.432563341944188,-0.542281607156645,1.3753782339978,1.43314241378291,1.65008116484644,1.15137277982786,0.298876471250477,-0.0795084344083219,1.07328798157098,0.0346809139303545,0.298876471250477
20,0.05,0.7,1,3.33333333333333,0.549508427988955,0.190768444717842,3.13639684240369,1.12800021404236,1.4056013605328,0.806444809452446,0.57691576400674,0.469200254896698,-1.55995045457082,1.68164043880074,2.05597780018693,2.36651483360986,1.15104104402037,0.341839924787883,0.0990739001844857,1.32902047924956,-0.0274073360177846,0.341839924787883
20,0.05,0.9,0.01,0.1,0.894401323467155,0.0296584718531847,0.0936443316548146,0.0315997853540909,1.03693293578299,0.176706241155843,0.887915741993032,0.0660463215629676,0.577477903215467,0.374943688909992,0.34836155680968,0.424355215261653,1.21814593765147,0.401412567296724,-0.0368188909653004,0.314407018103908,0.00648558147412244,0.401412567296724
20,0.05,0.9,0.05,0.5,0.866118729395353,0.0689989215856761,0.463719607655481,0.163948393814547,1.19708858909182,0.390594508536413,0.850798822936026,0.141298531289217,0.18494085707688,0.796754627649922,0.792111081130208,0.939444981996208,1.18600156515394,0.39173560605226,-0.0909727872366986,0.63246008549195,0.0153199064593272,0.39173560605226
20,0.05,0.9,0.1,1,0.832983311743551,0.104126926680887,0.919313344584909,0.312349888465704,1.36136030023304,0.537989793616689,0.82740837758505,0.202169369003313,-0.147271700959351,1.10950859465103,1.15644042963508,1.35272553006014,1.16973213266765,0.396374905473336,-0.0458607021148688,0.866370051996395,0.00557493415850088,0.396374905473336
20,0.05,0.9,0.5,5,0.738448435329808,0.172961132559241,4.57215958807485,1.59636323096297,1.77695340401063,1.13027498853231,0.746307160386852,0.360035734947127,-1.72639618523546,2.23184859038358,2.68838980973857,3.23108110326558,1.20186480828083,0.521957842516461,0.0377383104397339,1.70316751544364,-0.0078587250570441,0.521957842516461
20,0.05,0.9,1,10,0.709631760491446,0.191223104425029,9.01492748846886,3.08809145983949,1.93146485828138,1.64655326640826,0.725593709467495,0.402533289981234,-3.05405129699166,2.84473430973895,3.82054948399046,4.57540888681904,1.19757875300182,0.491194287950145,0.117884511131988,2.04076631164149,-0.0159619489760489,0.491194287950145
20,0.1,0.25,0.01,0.0133333333333333,0.238084372904486,0.0844021989291453,0.0126971246973864,0.00444687665440122,1.01430636851517,0.107143699276469,0.184919063826711,0.141745086949905,0.935050920283709,0.178549059925975,0.119519316250283,0.123782648456241,1.03567065424831,0.103218928767263,-0.0629620575622299,0.137375369970309,0.0531653090777748,0.103218928767263
20,0.1,0.25,0.05,0.0666666666666667,0.217721962224599,0.152408491254799,0.0627329617094798,0.0217255997678543,1.04243815764155,0.200351706314862,0.174781462666441,0.264701438218194,0.777679690084671,0.341024734427185,0.273435217345375,0.286229132015864,1.04678956425108,0.109293145822351,-0.0513825141605346,0.266991117511057,0.0429404995581584,0.109293145822351
20,0.1,0.25,0.1,0.133333333333333,0.205122218034031,0.173514424092964,0.126765005609103,0.0408213390089454,1.05518894213721,0.229669315613288,0.190402534795976,0.300960852179899,0.623228493151128,0.403839486830188,0.384289993062481,0.400859827615269,1.04311804848401,0.110187820829681,-0.0184029991357339,0.31397152319797,0.0147196832380546,0.110187820829681
20,0.1,0.25,0.5,0.666666666666667,0.162486631797239,0.205801182651678,0.634458459755918,0.210246860387419,1.10223634682765,0.318728977669414,0.160651702449825,0.399546596071023,0.0846741920424293,0.606268313949137,0.870176825088203,0.928078794358499,1.06654046350226,0.143630607851531,0.0106981637568549,0.450840117877427,0.00183492934741344,0.143630607851531
20,0.1,0.25,1,1.33333333333333,0.164245550553543,0.216849944085,1.26776626672783,0.432964152791929,1.09635312063805,0.390851695444467,0.188431154311993,0.403991118677934,-0.364027516506326,0.705720484927107,1.22421258347955,1.30951847986356,1.06968225742424,0.155337714906179,0.0382945455833825,0.502194069457872,-0.0241856037584499,0.155337714906179
20,0.1,0.5,0.01,0.02,0.485962570269729,0.0664902377888157,0.0187678308576888,0.00619769491299793,1.02464516046483,0.123326634604994,0.451123472448916,0.104926363016999,0.912733051785352,0.188388387147307,0.148370061964141,0.153729800533105,1.03612412435508,0.110873720372565,-0.0612643858666621,0.136441886190725,0.0348390978208129,0.110873720372565
20,0.1,0.5,0.05,0.1,0.455769526790342,0.123794617157741,0.0937562316139133,0.0318538445441718,1.07879382917236,0.231943069485336,0.415176077795073,0.204377781314187,0.760363963895545,0.378328810397728,0.330350932628994,0.346890875598746,1.0500677955958,0.132451467226018,-0.0684137368064916,0.304022098758935,0.0405934489952686,0.132451467226018
20,0.1,0.5,0.1,0.2,0.427696667413786,0.146819708904914,0.186117561404815,0.0625235535004322,1.13464472154989,0.280006981871267,0.400515622809764,0.260247721383448,0.635175577110462,0.490286205187848,0.467103692097199,0.489587311175253,1.04813410696265,0.125349642668313,-0.0456290303923114,0.378592334655839,0.0271810446040214,0.125349642668313
20,0.1,0.5,0.5,1,0.386954271026765,0.203425186983048,0.933675397542489,0.309828982004302,1.19913528200322,0.455362122565491,0.379089125898063,0.36348050353117,0.00101886430213885,0.798106630176224,1.07573997608465,1.14385993367082,1.06332381346848,0.137914989470176,-0.0231462848985989,0.558228852155976,0.00786514512870147,0.137914989470176
20,0.1,0.5,1,2,0.382912602126074,0.212772032432162,1.86446746542672,0.635401297532684,1.1970882566512,0.53478320899291,0.402391990768586,0.378415947517169,-0.571552304898994,0.932633440287785,1.52872737083484,1.62757546015701,1.0646603777809,0.162674749836261,0.0440011651668413,0.659542288275231,-0.0194793886425128,0.162674749836261
20,0.1,0.7,0.01,0.0333333333333333,0.688495166706463,0.0458318083318087,0.0313826547627652,0.0104140999923021,1.03375833680103,0.132299127695666,0.668831296292911,0.0753233152526359,0.86347467874053,0.212030525537408,0.188400982096901,0.196138868820577,1.04107137148413,0.122002121523308,-0.0536532757354059,0.151730844117796,0.0196638704135515,0.122002121523308
20,0.1,0.7,0.05,0.166666666666667,0.652134866327063,0.0977685616537561,0.156966302228754,0.0526307058828119,1.13106926831123,0.281653621106307,0.625892072157438,0.166021571511475,0.699635991315831,0.479048176858251,0.432626620775178,0.456227903930813,1.0545534694868,0.142911735574924,-0.069208458392515,0.33976936256846,0.0262427941696247,0.142911735574924
20,0.1,0.7,0.1,0.333333333333333,0.632488646529886,0.12337499360626,0.309454087532634,0.113708922628839,1.18145241496629,0.358734604282655,0.601765509881152,0.20728430695793,0.561378573060861,0.597600359296103,0.616564232818771,0.651077585272238,1.05597689683633,0.151605093362781,-0.081128560732979,0.428205604914336,0.0307231366487344,0.151605093362781
20,0.1,0.7,0.5,1.66666666666667,0.56609498787768,0.186378871424311,1.56084301777874,0.547449285744839,1.39813838319189,0.646772684096322,0.572963339023628,0.322163789517668,-0.201591995331253,1.07985296281352,1.43093709193851,1.54065672552271,1.07667676951162,0.188348016713065,0.022884574257646,0.767798061476116,-0.00686835114594838,0.188348016713065
20,0.1,0.7,1,3.33333333333333,0.553198836979281,0.192523479242084,3.11241648954025,1.06580326252936,1.36976151559602,0.744957738794394,0.554182049861924,0.334961147919124,-0.862339774128716,1.26244328583145,1.99999395559809,2.14502940178656,1.07251794225803,0.188735163815601,0.00432530738331458,0.860181707540969,-0.000983212882642369,0.188735163815601
20,0.1,0.9,0.01,0.1,0.891209227993043,0.0295170051657965,0.0957039570442312,0.0341633820495112,1.05148772039245,0.174214787038085,0.889819222143372,0.0505145037369141,0.670327075614694,0.299310374826901,0.345535978078397,0.381128469194478,1.10300661399724,0.243636320094715,-0.00898982049237164,0.222361664428224,0.00139000584967188,0.243636320094715
20,0.1,0.9,0.05,0.5,0.863664664960576,0.0690513385858153,0.463764867957009,0.157388997617296,1.20482198646484,0.382415399833771,0.864164571049866,0.113380023866753,0.327674092031316,0.644049266168994,0.793422791195169,0.876271808754099,1.10441976015603,0.265987658095647,0.016883122091836,0.474326815447417,-0.000499906089290655,0.265987658095647
20,0.1,0.9,0.1,1,0.840765730451646,0.100425275058846,0.925282739806181,0.308250365558326,1.32633763145579,0.540536872870917,0.836388734340692,0.165711683047977,0.125907271324951,0.909956077762293,1.13367803922647,1.26583532705848,1.11657391539681,0.267506217373146,-0.0151573045888493,0.630737187483231,0.00437699611095387,0.267506217373146
20,0.1,0.9,0.5,5,0.745655245005534,0.17792223776491,4.57640029528408,1.65769080797119,1.76175162307984,1.11321351004393,0.749309830721967,0.281307171886468,-0.964550284761543,1.73110651367533,2.65781380107704,2.93444550413195,1.10408242403693,0.267015332266813,0.0279061328145225,1.1385190282502,-0.00365458571643317,0.267015332266813
