,,,,,129.8556495,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,5,4,5.989666667,120.1666667,6.3915,-1.075688418,6.30033068
2011,2,5,5,6.375333333,124.6666667,6.744833333,-0.610010031,6.717191709
2011,2,5,6,6.703166667,119.5,7.075666667,-1.271905886,6.960410491
2011,2,5,7,5.889833333,115,5.977166667,-1.532453966,5.777378835
2011,2,5,8,6.783833333,113.8333333,6.857666667,-1.892796491,6.591275564
2011,2,5,9,7.059666667,114,7.135166667,-1.949432339,6.863695573
2011,2,5,10,6.6205,114.5,6.684666667,-1.770165027,6.446028562
2011,2,5,11,6.463166667,113.8333333,6.531666667,-1.802816664,6.277939274
2011,2,5,12,6.172166667,118.5,6.244333333,-1.229499803,6.122093515
2011,2,5,13,6.172833333,105.6666667,6.239,-2.55641551,5.691209075
2011,2,5,14,6.740833333,105.3333333,6.8095,-2.826266854,6.195280939
2011,2,5,15,7.634166667,102,7.739333333,-3.616169323,6.842557991
2011,2,5,16,8.905666667,96.33333333,9.049666667,-4.997784603,7.544442713
2011,2,5,17,9.204833333,94,9.404666667,-5.508737963,7.622438007
2011,2,5,18,8.269,97.83333333,8.495833333,-4.504911635,7.203121211
2011,2,5,19,8.623166667,103,8.877333333,-4.010284436,7.91989052
2011,2,5,20,9.199666667,112.5,9.5055,-2.835510239,9.072729023
2011,2,5,21,8.816333333,118.5,9.147166667,-1.801063303,8.968100636
2011,2,5,22,8.1485,123.8333333,8.4935,-0.891102452,8.446625283
2011,2,5,23,8.354666667,128.6666667,8.712,-0.180775522,8.710124236
2011,2,6,0,8.584666667,131.6666667,8.949166667,0.282820072,8.944696576
2011,2,6,1,8.870833333,131.1666667,9.296333333,0.212696115,9.293899817
2011,2,6,2,9.447166667,128,9.968666667,-0.322800692,9.963438906
2011,2,6,3,8.961833333,132.1666667,9.455833333,0.381296303,9.448142524
2011,2,6,4,8.4175,133.5,8.875666667,0.56416432,8.857718521
2011,2,6,5,8.597,134.8333333,9.055166667,0.785696235,9.02101573
2011,2,6,6,7.276,137.3333333,7.650166667,0.995592872,7.58510678
2011,2,6,7,6.5385,132.5,6.661333333,0.307328876,6.654240057
2011,2,6,8,8.1715,126.1666667,8.278166667,-0.532620728,8.261014376
2011,2,6,9,8.846833333,123.6666667,8.970666667,-0.96711135,8.918383042
2011,2,6,10,8.659833333,117.8333333,8.793833333,-1.831690887,8.600954202
2011,2,6,11,8.648333333,114.6666667,8.800333333,-2.305719135,8.49291034
2011,2,6,12,8.253333333,127.1666667,8.346333333,-0.391563023,8.337143306
2011,2,6,13,8.322333333,130.6666667,8.4375,0.119428157,8.436654738
2011,2,6,14,7.960666667,122.5,8.072,-1.033441551,8.00557197
2011,2,6,15,8.601,114.6666667,8.707,-2.281265465,8.40283743
2011,2,6,16,8.4475,111.8333333,8.581333333,-2.654956396,8.160299523
2011,2,6,17,8.752666667,111,8.946166667,-2.891266801,8.466077859
2011,2,6,18,8.531,112.6666667,8.781666667,-2.595196395,8.389435328
2011,2,6,19,8.1285,109.3333333,8.407166667,-2.947318744,7.873611852
2011,2,6,20,9.187333333,114.3333333,9.463166667,-2.532472864,9.118009901
2011,2,6,21,8.321833333,123,8.5855,-1.024836938,8.524114001
2011,2,6,22,8.1505,126.6666667,8.440166667,-0.469522394,8.427096896
2011,2,6,23,7.997333333,122.6666667,8.294,-1.037931568,8.228799066
2011,2,7,0,6.808333333,129.3333333,7.076333333,-0.06450793,7.076039299
2011,2,7,1,6.727,132.1666667,7.014166667,0.282838722,7.008461763
2011,2,7,2,6.102166667,136.6666667,6.381166667,0.756773825,6.336133001
